"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,1,"Miranda","Solo danos",8
2014,1,"Moravia","Herido",13
2014,1,"Moravia","Muerto",1
2014,1,"Moravia","Solo danos",11
2014,1,"Moscu Nº 1","Herido",2
2014,1,"Moscu Nº 1","Solo danos",4
2014,1,"Moscu Nº 2","Herido",2
2014,1,"Naranjal","Herido",16
2014,1,"Naranjal","Solo danos",21
2014,1,"Nuevos Conquistadores","Solo danos",1
2014,1,"Olaya Herrera","Herido",1
2014,1,"Oriente","Muerto",1
2014,1,"Pablo VI","Herido",2
2014,1,"Pajarito","Herido",2
2014,1,"Palenque","Herido",3
2014,1,"Palenque","Solo danos",3
2014,1,"Palermo","Herido",1
2014,1,"Palermo","Solo danos",1
2014,1,"Patio Bonito","Herido",3
2014,1,"Patio Bonito","Solo danos",8
2014,1,"Pedregal","Herido",10
2014,1,"Pedregal","Solo danos",1
2014,1,"Pedregal Alto","Solo danos",1
2014,1,"Pedregal Bajo","Herido",2
2014,1,"Perpetuo Socorro","Herido",17
2014,1,"Perpetuo Socorro","Solo danos",37
2014,1,"Picachito","Herido",1
2014,1,"Picacho","Herido",8
2014,1,"Picacho","Solo danos",1
2014,1,"Piedras Blancas","Herido",1
2014,1,"Piedras Blancas Represa","Herido",1
2014,1,"Popular","Herido",6
2014,1,"Popular","Solo danos",3
2014,1,"Prado","Herido",17
2014,1,"Prado","Solo danos",17
2014,1,"Robledo","Herido",25
2014,1,"Robledo","Muerto",2
2014,1,"Robledo","Solo danos",35
2014,1,"Rosales","Herido",11
2014,1,"Rosales","Solo danos",12
2014,1,"San Benito","Herido",16
2014,1,"San Benito","Solo danos",13
2014,1,"San Bernardo","Herido",9
2014,1,"San Bernardo","Solo danos",11
2014,1,"San Diego","Herido",25
2014,1,"San Diego","Solo danos",20
2014,1,"San German","Herido",4
2014,1,"San German","Solo danos",3
2014,1,"San Isidro","Herido",7
2014,1,"San Isidro","Solo danos",1
2014,1,"San Javier Nº 1","Herido",7
2014,1,"San Javier Nº 1","Solo danos",4
2014,1,"San Javier Nº 2","Herido",5
2014,1,"San Javier Nº 2","Solo danos",2
2014,1,"San Joaquin","Herido",6
2014,1,"San Joaquin","Solo danos",4
2014,1,"San Jose La Cima Nº 2","Herido",1
2014,1,"San Lucas","Herido",2
2014,1,"San Martin de Porres","Herido",6
2014,1,"San Martin de Porres","Solo danos",4
2014,1,"San Miguel","Herido",6
2014,1,"San Miguel","Solo danos",1
2014,1,"San Pablo","Herido",7
2014,1,"San Pedro","Herido",6
2014,1,"San Pedro","Solo danos",13
2014,1,"Santa Cruz","Herido",2
2014,1,"Santa Cruz","Solo danos",2
2014,1,"Santa Fe","Herido",21
2014,1,"Santa Fe","Muerto",1
2014,1,"Santa Fe","Solo danos",24
2014,1,"Santa Ines","Herido",7
2014,1,"Santa Ines","Solo danos",1
2014,1,"Santa Lucia","Solo danos",2
2014,1,"Santa Maria de los angeles","Herido",6
