"BARRIO","GRAVEDAD","CONTEO"
"Santa Rosa de Lima","Solo danos",6
"Santa Teresita","Herido",161
"Santa Teresita","Solo danos",145
"Santander","Herido",464
"Santander","Muerto",8
"Santander","Solo danos",106
"Santo Domingo Savio Nº 1","Herido",432
"Santo Domingo Savio Nº 1","Muerto",5
"Santo Domingo Savio Nº 1","Solo danos",118
"Santo Domingo Savio Nº 2","Herido",141
"Santo Domingo Savio Nº 2","Muerto",2
"Santo Domingo Savio Nº 2","Solo danos",38
"Sevilla","Herido",729
"Sevilla","Muerto",10
"Sevilla","Solo danos",633
"Simon Bolivar","Herido",247
"Simon Bolivar","Muerto",2
"Simon Bolivar","Solo danos",213
"Sin Nombre","Herido",4
"Sin Nombre","Solo danos",1
"SUBURB El Plan","Herido",5
"SUBURB El Plan","Solo danos",2
"Suburbano Altavista","Herido",68
"Suburbano Altavista","Muerto",1
"Suburbano Altavista","Solo danos",25
"Suburbano Chacaltaya","Herido",2
"Suburbano Chacaltaya","Solo danos",5
"Suburbano El Llano","Herido",12
"Suburbano El Llano","Solo danos",18
"Suburbano El Plan","Herido",262
"Suburbano El Plan","Solo danos",48
"Suburbano el Tesoro","Herido",12
"Suburbano el Tesoro","Solo danos",11
"Suburbano La Loma","Herido",163
"Suburbano La Loma","Muerto",2
"Suburbano La Loma","Solo danos",87
"Suburbano Mirador del Poblado","Herido",35
"Suburbano Mirador del Poblado","Solo danos",31
"Suburbano Palma Patio","Herido",18
"Suburbano Palma Patio","Muerto",1
"Suburbano Palma Patio","Solo danos",10
"Suburbano Palmitas","Herido",3
"Suburbano Palmitas","Muerto",1
"Suburbano Palmitas","Solo danos",6
"Suburbano Pedregal alto","Herido",24
"Suburbano Pedregal alto","Solo danos",1
"Suburbano Potrerito","Herido",1
"Suburbano Travesias","Herido",67
"Suburbano Travesias","Solo danos",21
"Sucre","Herido",505
"Sucre","Muerto",6
"Sucre","Solo danos",242
"Suramericana","Herido",769
"Suramericana","Muerto",9
"Suramericana","Solo danos",1029
"Tejelo","Herido",585
"Tejelo","Muerto",5
"Tejelo","Solo danos",190
"Tenche","Herido",535
"Tenche","Muerto",7
"Tenche","Solo danos",568
"Toscana","Herido",539
"Toscana","Muerto",13
"Toscana","Solo danos",390
"Travesias","Solo danos",1
"Trece de Noviembre","Herido",25
"Trece de Noviembre","Solo danos",35
"Tricentenario","Herido",591
"Tricentenario","Muerto",7
"Tricentenario","Solo danos",460
"Trinidad","Herido",675
"Trinidad","Muerto",7
"Trinidad","Solo danos",486
