"PERIODO","MES","BARRIO","TOTAL"
2014,3,"El Triunfo",1
2014,3,"El Velodromo",15
2014,3,"El Volador",3
2014,3,"Enciso",16
2014,3,"Estacion Villa",20
2014,3,"Estadio",31
2014,3,"Fatima",21
2014,3,"Ferrini",8
2014,3,"Florencia",9
2014,3,"Florida Nueva",9
2014,3,"Francisco Antonio Zea",10
2014,3,"Gerona",2
2014,3,"Girardot",25
2014,3,"Granada",6
2014,3,"Granizal",11
2014,3,"Guayabal",37
2014,3,"Guayaquil",47
2014,3,"Hector Abad Gomez",15
2014,3,"Inst",1
2014,3,"Jesus Nazareno",35
2014,3,"Juan XXIII",4
2014,3,"Kennedy",25
2014,3,"La Aguacatala",30
2014,3,"La America",25
2014,3,"La Avanzada",1
2014,3,"La Candelaria",122
2014,3,"La Castellana",14
2014,3,"La Colina",7
2014,3,"La Cruz",4
2014,3,"La Esperanza",11
2014,3,"La Esperanza Nº 2",4
2014,3,"La Floresta",15
2014,3,"La Florida",14
2014,3,"La Francia",1
2014,3,"La Frontera",6
2014,3,"La Gloria",21
2014,3,"La Hondonada",5
2014,3,"La Isla",2
2014,3,"La Ladera",1
2014,3,"La Libertad",6
2014,3,"La Loma de Los Bernal",8
2014,3,"La Mansion",8
2014,3,"La Milagrosa",8
2014,3,"La Mota",7
2014,3,"La Palma",19
2014,3,"La Pilarica",2
2014,3,"La Pinuela",4
2014,3,"La Pradera",11
2014,3,"La Rosa",5
2014,3,"La Salle",13
2014,3,"Lalinde",2
2014,3,"Las Acacias",38
2014,3,"Las Brisas",23
2014,3,"Las Esmeraldas",7
2014,3,"Las Estancias",4
2014,3,"Las Granjas",29
2014,3,"Las Independencias",2
2014,3,"Las Lomas Nº 1",7
2014,3,"Las Lomas Nº 2",6
2014,3,"Las Mercedes",5
2014,3,"Las Palmas",16
2014,3,"Las Playas",7
2014,3,"Las Violetas",11
2014,3,"Laureles",28
2014,3,"Llanaditas",1
2014,3,"Lopez de Mesa",14
2014,3,"Lorena",24
2014,3,"Loreto",9
2014,3,"Los Alcazares",4
2014,3,"Los Alpes",7
2014,3,"Los angeles",16
2014,3,"Los Balsos Nº 1",4
2014,3,"Los Balsos Nº 2",9
2014,3,"Los Cerros - El Vergel",2
2014,3,"Los Colores",25
2014,3,"Los Conquistadores",71
2014,3,"Los Mangos",9
2014,3,"Los Naranjos",8
2014,3,"Los Pinos",20
2014,3,"Manila",34
2014,3,"Manrique",20
2014,3,"Manrique Central Nº 1",19
2014,3,"Manrique Central Nº 2",13
2014,3,"Maria Cano - Carambola",2
2014,3,"Mirador del Doce",1
2014,3,"Miraflores",16
2014,3,"Miranda",20
2014,3,"Miravalle",1
2014,3,"Monteclaro",1
2014,3,"Moravia",23
2014,3,"Moscu Nº 1",14
2014,3,"Moscu Nº 2",7
2014,3,"Naranjal",41
2014,3,"Nueva Villa de Aburra",1
2014,3,"Ocho de Marzo",1
2014,3,"Olaya Herrera",4
2014,3,"Oriente",3
2014,3,"Pablo VI",2
2014,3,"Palenque",8
2014,3,"Palermo",4
2014,3,"Patio Bonito",27
2014,3,"Pedregal",16
2014,3,"Pedregal Bajo",3
2014,3,"Perpetuo Socorro",79
2014,3,"Picachito",1
2014,3,"Picacho",13
2014,3,"Piedras Blancas",1
2014,3,"Popular",18
2014,3,"Prado",29
2014,3,"Robledo",68
2014,3,"Rosales",23
2014,3,"San Antonio",1
2014,3,"San Benito",60
2014,3,"San Bernardo",17
2014,3,"San Diego",47
2014,3,"San German",4
2014,3,"San Isidro",17
2014,3,"San Javier Nº 1",9
2014,3,"San Javier Nº 2",5
2014,3,"San Joaquin",15
2014,3,"San Jose La Cima Nº 1",1
2014,3,"San Jose La Cima Nº 2",1
2014,3,"San Lucas",4
2014,3,"San Martin de Porres",9
2014,3,"San Miguel",17
2014,3,"San Pablo",8
2014,3,"San Pedro",24
2014,3,"Santa Cruz",5
2014,3,"Santa Fe",58
2014,3,"Santa Ines",13
2014,3,"Santa Lucia",4
2014,3,"Santa Maria de los angeles",14
2014,3,"Santa Monica",8
2014,3,"Santa Teresita",6
2014,3,"Santander",7
2014,3,"Santo Domingo Savio Nº 1",14
2014,3,"Santo Domingo Savio Nº 2",1
2014,3,"Sevilla",31
2014,3,"Simon Bolivar",6
2014,3,"Suburbano Altavista",2
2014,3,"Suburbano El Plan",10
2014,3,"Suburbano La Loma",4
2014,3,"Suburbano Mirador del Poblado",1
2014,3,"Suburbano Pedregal alto",1
2014,3,"Suburbano Travesias",2
2014,3,"Sucre",14
2014,3,"Suramericana",33
2014,3,"Tejelo",10
2014,3,"Tenche",21
2014,3,"Toscana",8
2014,3,"Tricentenario",19
2014,3,"Trinidad",24
2014,3,"Veinte de Julio",6
2014,3,"Versalles Nº 1",9
2014,3,"Versalles Nº 2",1
2014,3,"Villa Carlota",41
2014,3,"Villa de La Iguana",7
2014,3,"Villa del Socorro",9
2014,3,"Villa Flora",17
2014,3,"Villa Guadalupe",5
2014,3,"Villa Hermosa",11
2014,3,"Villa Lilliam",3
2014,3,"Villa Niza",2
2014,3,"Villa Nueva",56
2014,3,"Villa Turbay",1
2014,3,"Villatina",5
2014,3,"Zona rural",10
2014,4,"",6
2014,4,"Aguas Frias",3
2014,4,"Aldea Pablo VI",2
2014,4,"Alejandria",6
2014,4,"Alejandro Echavarria",12
2014,4,"Alfonso Lopez",10
2014,4,"Altamira",16
2014,4,"Altavista",5
2014,4,"Altavista Sector Central",3
2014,4,"Altos del Poblado",5
2014,4,"Andalucia",1
2014,4,"Antonio Narino",4
2014,4,"Aranjuez",31
2014,4,"Area De Expansion Altavista",1
2014,4,"area de Expansion Altos de Calasanz",3
2014,4,"area de Expansion Pajarito",7
2014,4,"Asomadera Nº 1",7
2014,4,"Asomadera Nº 2",6
2014,4,"Astorga",3
2014,4,"Aures Nº 1",11
2014,4,"Aures Nº 2",13
2014,4,"Barrio Colombia",26
2014,4,"Barrio Colon",65
2014,4,"Barrio Cristobal",2
2014,4,"Barrios de Jesus",3
2014,4,"Belalcazar",9
2014,4,"Belen",45
2014,4,"Belencito",2
2014,4,"Bello Horizonte",5
2014,4,"Berlin",18
2014,4,"Bermejal - Los alamos",9
2014,4,"Blanquizal",1
2014,4,"Bolivariana",19
2014,4,"Bombona Nº 1",15
2014,4,"Bombona Nº 2",4
2014,4,"Bosques de San Pablo",5
2014,4,"Boston",37
2014,4,"Boyaca",2
2014,4,"Brasilia",4
2014,4,"Buenos Aires",19
2014,4,"Cabecera San Antonio de Prado",12
2014,4,"Cabecera Urbana San Cristobal",7
2014,4,"Caicedo",14
2014,4,"Calasanz",14
2014,4,"Calasanz Parte Alta",7
2014,4,"Calle Nueva",25
2014,4,"Campo Alegre",7
2014,4,"Campo Amor",51
2014,4,"Campo Valdes Nº 1",21
2014,4,"Campo Valdes Nº 2",20
2014,4,"Caribe",84
2014,4,"Carlos E. Restrepo",56
2014,4,"Carpinelo",3
2014,4,"Castilla",107
2014,4,"Castropol",18
2014,4,"Cataluna",2
2014,4,"Cerro Nutibara",8
2014,4,"Corazon de Jesus",47
2014,4,"Cordoba",10
2014,4,"Cristo Rey",35
2014,4,"Cuarta Brigada",14
2014,4,"Cucaracho",19
2014,4,"Diego Echavarria",8
2014,4,"Doce de Octubre Nº 1",10
2014,4,"Doce de Octubre Nº 2",9
