"","N_FECHAS","N_DIA_SEMANA","N_DIA_LABORAL"
"876",2016-05-25,"miércoles","Laboral"
"877",2016-05-26,"jueves","Laboral"
"878",2016-05-27,"viernes","Laboral"
"879",2016-05-28,"sábado","Fin de semana"
"880",2016-05-29,"domingo","Fin de semana"
"881",2016-05-30,"lunes","Festivo"
"882",2016-05-31,"martes","Laboral"
"883",2016-06-01,"miércoles","Laboral"
"884",2016-06-02,"jueves","Laboral"
"885",2016-06-03,"viernes","Laboral"
"886",2016-06-04,"sábado","Fin de semana"
"887",2016-06-05,"domingo","Fin de semana"
"888",2016-06-06,"lunes","Festivo"
"889",2016-06-07,"martes","Laboral"
"890",2016-06-08,"miércoles","Laboral"
"891",2016-06-09,"jueves","Laboral"
"892",2016-06-10,"viernes","Laboral"
"893",2016-06-11,"sábado","Fin de semana"
"894",2016-06-12,"domingo","Fin de semana"
"895",2016-06-13,"lunes","Laboral"
"896",2016-06-14,"martes","Laboral"
"897",2016-06-15,"miércoles","Laboral"
"898",2016-06-16,"jueves","Laboral"
"899",2016-06-17,"viernes","Laboral"
"900",2016-06-18,"sábado","Fin de semana"
"901",2016-06-19,"domingo","Fin de semana"
"902",2016-06-20,"lunes","Laboral"
"903",2016-06-21,"martes","Laboral"
"904",2016-06-22,"miércoles","Laboral"
"905",2016-06-23,"jueves","Laboral"
"906",2016-06-24,"viernes","Laboral"
"907",2016-06-25,"sábado","Fin de semana"
"908",2016-06-26,"domingo","Fin de semana"
"909",2016-06-27,"lunes","Laboral"
"910",2016-06-28,"martes","Laboral"
"911",2016-06-29,"miércoles","Laboral"
"912",2016-06-30,"jueves","Laboral"
"913",2016-07-01,"viernes","Laboral"
"914",2016-07-02,"sábado","Fin de semana"
"915",2016-07-03,"domingo","Fin de semana"
"916",2016-07-04,"lunes","Festivo"
"917",2016-07-05,"martes","Laboral"
"918",2016-07-06,"miércoles","Laboral"
"919",2016-07-07,"jueves","Laboral"
"920",2016-07-08,"viernes","Laboral"
"921",2016-07-09,"sábado","Fin de semana"
"922",2016-07-10,"domingo","Fin de semana"
"923",2016-07-11,"lunes","Laboral"
"924",2016-07-12,"martes","Laboral"
"925",2016-07-13,"miércoles","Laboral"
"926",2016-07-14,"jueves","Laboral"
"927",2016-07-15,"viernes","Laboral"
"928",2016-07-16,"sábado","Fin de semana"
"929",2016-07-17,"domingo","Fin de semana"
"930",2016-07-18,"lunes","Laboral"
"931",2016-07-19,"martes","Laboral"
"932",2016-07-20,"miércoles","Festivo"
"933",2016-07-21,"jueves","Laboral"
"934",2016-07-22,"viernes","Laboral"
"935",2016-07-23,"sábado","Fin de semana"
"936",2016-07-24,"domingo","Fin de semana"
"937",2016-07-25,"lunes","Laboral"
"938",2016-07-26,"martes","Laboral"
"939",2016-07-27,"miércoles","Laboral"
"940",2016-07-28,"jueves","Laboral"
"941",2016-07-29,"viernes","Laboral"
"942",2016-07-30,"sábado","Fin de semana"
"943",2016-07-31,"domingo","Fin de semana"
"944",2016-08-01,"lunes","Laboral"
"945",2016-08-02,"martes","Laboral"
"946",2016-08-03,"miércoles","Laboral"
"947",2016-08-04,"jueves","Laboral"
"948",2016-08-05,"viernes","Laboral"
"949",2016-08-06,"sábado","Fin de semana"
"950",2016-08-07,"domingo","Fin de semana"
"951",2016-08-08,"lunes","Laboral"
"952",2016-08-09,"martes","Laboral"
"953",2016-08-10,"miércoles","Laboral"
"954",2016-08-11,"jueves","Laboral"
"955",2016-08-12,"viernes","Laboral"
"956",2016-08-13,"sábado","Fin de semana"
"957",2016-08-14,"domingo","Fin de semana"
"958",2016-08-15,"lunes","Festivo"
"959",2016-08-16,"martes","Laboral"
"960",2016-08-17,"miércoles","Laboral"
"961",2016-08-18,"jueves","Laboral"
"962",2016-08-19,"viernes","Laboral"
"963",2016-08-20,"sábado","Fin de semana"
"964",2016-08-21,"domingo","Fin de semana"
"965",2016-08-22,"lunes","Laboral"
"966",2016-08-23,"martes","Laboral"
"967",2016-08-24,"miércoles","Laboral"
"968",2016-08-25,"jueves","Laboral"
"969",2016-08-26,"viernes","Laboral"
"970",2016-08-27,"sábado","Fin de semana"
"971",2016-08-28,"domingo","Fin de semana"
"972",2016-08-29,"lunes","Laboral"
"973",2016-08-30,"martes","Laboral"
"974",2016-08-31,"miércoles","Laboral"
"975",2016-09-01,"jueves","Laboral"
"976",2016-09-02,"viernes","Laboral"
"977",2016-09-03,"sábado","Fin de semana"
"978",2016-09-04,"domingo","Fin de semana"
"979",2016-09-05,"lunes","Laboral"
"980",2016-09-06,"martes","Laboral"
"981",2016-09-07,"miércoles","Laboral"
"982",2016-09-08,"jueves","Laboral"
"983",2016-09-09,"viernes","Laboral"
"984",2016-09-10,"sábado","Fin de semana"
"985",2016-09-11,"domingo","Fin de semana"
"986",2016-09-12,"lunes","Laboral"
"987",2016-09-13,"martes","Laboral"
"988",2016-09-14,"miércoles","Laboral"
"989",2016-09-15,"jueves","Laboral"
"990",2016-09-16,"viernes","Laboral"
"991",2016-09-17,"sábado","Fin de semana"
"992",2016-09-18,"domingo","Fin de semana"
"993",2016-09-19,"lunes","Laboral"
"994",2016-09-20,"martes","Laboral"
"995",2016-09-21,"miércoles","Laboral"
"996",2016-09-22,"jueves","Laboral"
"997",2016-09-23,"viernes","Laboral"
"998",2016-09-24,"sábado","Fin de semana"
"999",2016-09-25,"domingo","Fin de semana"
"1000",2016-09-26,"lunes","Laboral"
"1001",2016-09-27,"martes","Laboral"
"1002",2016-09-28,"miércoles","Laboral"
"1003",2016-09-29,"jueves","Laboral"
"1004",2016-09-30,"viernes","Laboral"
"1005",2016-10-01,"sábado","Fin de semana"
"1006",2016-10-02,"domingo","Fin de semana"
"1007",2016-10-03,"lunes","Laboral"
"1008",2016-10-04,"martes","Laboral"
"1009",2016-10-05,"miércoles","Laboral"
"1010",2016-10-06,"jueves","Laboral"
"1011",2016-10-07,"viernes","Festivo"
"1012",2016-10-08,"sábado","Fin de semana"
"1013",2016-10-09,"domingo","Fin de semana"
"1014",2016-10-10,"lunes","Laboral"
"1015",2016-10-11,"martes","Laboral"
"1016",2016-10-12,"miércoles","Laboral"
"1017",2016-10-13,"jueves","Laboral"
"1018",2016-10-14,"viernes","Festivo"
"1019",2016-10-15,"sábado","Fin de semana"
"1020",2016-10-16,"domingo","Fin de semana"
"1021",2016-10-17,"lunes","Laboral"
"1022",2016-10-18,"martes","Laboral"
"1023",2016-10-19,"miércoles","Laboral"
"1024",2016-10-20,"jueves","Laboral"
"1025",2016-10-21,"viernes","Laboral"
"1026",2016-10-22,"sábado","Fin de semana"
"1027",2016-10-23,"domingo","Fin de semana"
"1028",2016-10-24,"lunes","Laboral"
"1029",2016-10-25,"martes","Laboral"
"1030",2016-10-26,"miércoles","Laboral"
"1031",2016-10-27,"jueves","Laboral"
"1032",2016-10-28,"viernes","Laboral"
"1033",2016-10-29,"sábado","Fin de semana"
"1034",2016-10-30,"domingo","Fin de semana"
"1035",2016-10-31,"lunes","Laboral"
"1036",2016-11-01,"martes","Laboral"
"1037",2016-11-02,"miércoles","Laboral"
"1038",2016-11-03,"jueves","Laboral"
"1039",2016-11-04,"viernes","Laboral"
"1040",2016-11-05,"sábado","Fin de semana"
"1041",2016-11-06,"domingo","Fin de semana"
"1042",2016-11-07,"lunes","Laboral"
"1043",2016-11-08,"martes","Festivo"
"1044",2016-11-09,"miércoles","Laboral"
"1045",2016-11-10,"jueves","Laboral"
"1046",2016-11-11,"viernes","Laboral"
"1047",2016-11-12,"sábado","Fin de semana"
"1048",2016-11-13,"domingo","Fin de semana"
"1049",2016-11-14,"lunes","Laboral"
"1050",2016-11-15,"martes","Laboral"
"1051",2016-11-16,"miércoles","Laboral"
"1052",2016-11-17,"jueves","Laboral"
"1053",2016-11-18,"viernes","Laboral"
"1054",2016-11-19,"sábado","Fin de semana"
"1055",2016-11-20,"domingo","Fin de semana"
"1056",2016-11-21,"lunes","Laboral"
"1057",2016-11-22,"martes","Laboral"
"1058",2016-11-23,"miércoles","Laboral"
"1059",2016-11-24,"jueves","Laboral"
"1060",2016-11-25,"viernes","Festivo"
"1061",2016-11-26,"sábado","Fin de semana"
"1062",2016-11-27,"domingo","Fin de semana"
"1063",2016-11-28,"lunes","Laboral"
"1064",2016-11-29,"martes","Laboral"
"1065",2016-11-30,"miércoles","Laboral"
"1066",2016-12-01,"jueves","Laboral"
"1067",2016-12-02,"viernes","Laboral"
"1068",2016-12-03,"sábado","Fin de semana"
"1069",2016-12-04,"domingo","Fin de semana"
"1070",2016-12-05,"lunes","Laboral"
"1071",2016-12-06,"martes","Laboral"
"1072",2016-12-07,"miércoles","Laboral"
"1073",2016-12-08,"jueves","Laboral"
"1074",2016-12-09,"viernes","Laboral"
"1075",2016-12-10,"sábado","Fin de semana"
"1076",2016-12-11,"domingo","Fin de semana"
"1077",2016-12-12,"lunes","Laboral"
"1078",2016-12-13,"martes","Laboral"
"1079",2016-12-14,"miércoles","Laboral"
"1080",2016-12-15,"jueves","Laboral"
"1081",2016-12-16,"viernes","Laboral"
"1082",2016-12-17,"sábado","Fin de semana"
"1083",2016-12-18,"domingo","Fin de semana"
"1084",2016-12-19,"lunes","Laboral"
"1085",2016-12-20,"martes","Laboral"
"1086",2016-12-21,"miércoles","Laboral"
"1087",2016-12-22,"jueves","Laboral"
"1088",2016-12-23,"viernes","Laboral"
"1089",2016-12-24,"sábado","Fin de semana"
"1090",2016-12-25,"domingo","Fin de semana"
"1091",2016-12-26,"lunes","Laboral"
"1092",2016-12-27,"martes","Laboral"
"1093",2016-12-28,"miércoles","Laboral"
"1094",2016-12-29,"jueves","Laboral"
"1095",2016-12-30,"viernes","Laboral"
"1096",2016-12-31,"sábado","Fin de semana"
"1097",2017-01-01,"domingo","Fin de semana"
"1098",2017-01-02,"lunes","Laboral"
"1099",2017-01-03,"martes","Laboral"
"1100",2017-01-04,"miércoles","Laboral"
"1101",2017-01-05,"jueves","Laboral"
"1102",2017-01-06,"viernes","Laboral"
"1103",2017-01-07,"sábado","Fin de semana"
"1104",2017-01-08,"domingo","Fin de semana"
"1105",2017-01-09,"lunes","Festivo"
"1106",2017-01-10,"martes","Laboral"
"1107",2017-01-11,"miércoles","Laboral"
"1108",2017-01-12,"jueves","Laboral"
"1109",2017-01-13,"viernes","Laboral"
"1110",2017-01-14,"sábado","Fin de semana"
"1111",2017-01-15,"domingo","Fin de semana"
"1112",2017-01-16,"lunes","Laboral"
"1113",2017-01-17,"martes","Laboral"
"1114",2017-01-18,"miércoles","Laboral"
"1115",2017-01-19,"jueves","Laboral"
"1116",2017-01-20,"viernes","Laboral"
"1117",2017-01-21,"sábado","Fin de semana"
"1118",2017-01-22,"domingo","Fin de semana"
"1119",2017-01-23,"lunes","Laboral"
"1120",2017-01-24,"martes","Laboral"
"1121",2017-01-25,"miércoles","Laboral"
"1122",2017-01-26,"jueves","Laboral"
"1123",2017-01-27,"viernes","Laboral"
"1124",2017-01-28,"sábado","Fin de semana"
"1125",2017-01-29,"domingo","Fin de semana"
"1126",2017-01-30,"lunes","Laboral"
"1127",2017-01-31,"martes","Laboral"
"1128",2017-02-01,"miércoles","Laboral"
"1129",2017-02-02,"jueves","Laboral"
"1130",2017-02-03,"viernes","Laboral"
"1131",2017-02-04,"sábado","Fin de semana"
"1132",2017-02-05,"domingo","Fin de semana"
"1133",2017-02-06,"lunes","Laboral"
"1134",2017-02-07,"martes","Laboral"
"1135",2017-02-08,"miércoles","Laboral"
"1136",2017-02-09,"jueves","Laboral"
"1137",2017-02-10,"viernes","Laboral"
"1138",2017-02-11,"sábado","Fin de semana"
"1139",2017-02-12,"domingo","Fin de semana"
"1140",2017-02-13,"lunes","Laboral"
"1141",2017-02-14,"martes","Laboral"
"1142",2017-02-15,"miércoles","Laboral"
"1143",2017-02-16,"jueves","Laboral"
"1144",2017-02-17,"viernes","Laboral"
"1145",2017-02-18,"sábado","Fin de semana"
"1146",2017-02-19,"domingo","Fin de semana"
"1147",2017-02-20,"lunes","Laboral"
"1148",2017-02-21,"martes","Laboral"
"1149",2017-02-22,"miércoles","Laboral"
"1150",2017-02-23,"jueves","Laboral"
"1151",2017-02-24,"viernes","Laboral"
"1152",2017-02-25,"sábado","Fin de semana"
"1153",2017-02-26,"domingo","Fin de semana"
"1154",2017-02-27,"lunes","Laboral"
